"","interval","meanP","meanPET","meanSF","siteID","group","PET.P","AET.P"
"317",1990,2.4824415094545,2.22497283161941,0.637578822216587,"07167500","Reference",0.896284090942522,0.743164614437707
"318",1995,2.79115667199078,2.24357204127104,0.788197862958321,"07167500","Reference",0.803814441441162,0.717608878473976
"319",2000,2.56589537495975,2.29173173002157,0.709825667062963,"07167500","Reference",0.893150886971579,0.723361414502687
"320",2005,3.09107506675702,2.25528535992378,1.27826588408666,"07167500","Reference",0.729611967104343,0.586465596441258
"321",2010,2.27496012827206,2.34346591867354,0.248169121277701,"07167500","Reference",1.03011296310214,0.890912760099142
"322",2015,3.15637316157692,2.35992480643077,0.980318941531197,"07167500","Reference",0.747669773383751,0.689416019162502
"323",2020,2.82659717687354,2.30054443057244,0.829761789695046,"07167500","Reference",0.813891858873587,0.706444980387041
"324",1990,2.32757391154023,2.20068478509161,0.563091057339835,"07180500","Reference",0.945484383623868,0.758078119647243
"325",1995,2.69898536157363,2.19543202607024,0.772799017822662,"07180500","Reference",0.813428652606773,0.713670541224394
"326",2000,2.36301054125954,2.28144982477467,0.419162490041464,"07180500","Reference",0.965484404296649,0.822615057054278
"327",2005,2.75390351079881,2.24008685152939,0.889761748972072,"07180500","Reference",0.813422417577593,0.676908887518
"328",2010,2.3161145547163,2.3276428688767,0.379786052550775,"07180500","Reference",1.00497743694798,0.836024495516676
"329",2015,2.7748034190218,2.30915128516827,0.695910900642277,"07180500","Reference",0.832185541267032,0.749203530645928
"330",2020,2.32251519140629,2.259509560732,0.470684203066375,"07180500","Reference",0.972871811169451,0.797338590159501
"331",1990,3.36989250454819,2.29456093766359,1.23587071596992,"07184000","Reference",0.680900335713001,0.633261086428745
"332",1995,3.16699401477314,2.3077226217597,1.03054003773074,"07184000","Reference",0.728679186318263,0.674599941482819
"333",2000,2.78578697392373,2.33738910974581,0.613861170376893,"07184000","Reference",0.839040864080731,0.779645329623937
"334",2005,3.19070463107566,2.34812231275531,1.12942655574808,"07184000","Reference",0.7359259424661,0.646025976598365
"335",2010,2.80170825627745,2.40990392723768,0.662487483836278,"07184000","Reference",0.860155200613091,0.763541588474845
"336",2015,3.43827492238942,2.38995550919385,1.14617983726033,"07184000","Reference",0.695103086036227,0.666641015296183
"337",2020,3.1065109702555,2.33363480303578,1.18091539204684,"07184000","Reference",0.751207649153689,0.619857968198416
